Mir-1 37 mm f/ 2.8 m39 silver ,37,37,2.8,2.8,16,16,0.7
Mir-1 37 mm f/ 2.8 Black ,37,37,2.8,2.8,16,16,0.7
Sigma AF 70-200 mm APO f/ 2.8 EX DG MACRO HSM ,70, 200,2.8,2.8,22,22,1
Sigma APO 70-200 mm f/ 2.8 EX DG OS HSM ,70, 200,2.8,2.8,22,22,1.4
SMC Pentax DA* 50-135 mm f/ 2.8 ED [IF] SDM ,50, 135,2.8,2.8,8.0,8.0,1
Canon EF 14 mm f/ 2.8 L USM ,14,14,2.8,2.8,22,22,0.25
Canon EF 14 mm f/ 2.8 L II USM ,14,14,2.8,2.8,22,22,0.15
Canon EF 15 mm f/ 2.8 Fisheye ,15,15,2.8,2.8,22,22,0.2
Canon EF 20 mm f/ 2.8 USM ,20,20,2.8,2.8,22,22,0.25
Sigma AF 20 mm f/ 1.8 EX DG ASPHERICAL RF ,20,20,1.8,1.8,22,22,0.2
Carl Zeiss Sonnar T* 180 mm f/ 2.8 C/Y ,180,180,2.8,2.8,22,22,1.4
Canon EF 24 mm f/ 1.4 L USM ,24,24,1.4,1.4,22,22,0.25
Canon EF 24 mm f/ 1.4 L II USM ,24,24,1.4,1.4,22,22,0.25
Canon EF 24 mm f/ 2.8 ,24,24,2.8,2.8,22,22,0.25
Canon EF 24-105 mm f/ 4 L IS USM ,24, 105,4.0,4.0,22,22,0.45
Canon EF 24-70 mm f/ 2.8 L USM ,24, 70,2.8,2.8,22,22,0.38
Jupiter-6 180 mm f/ 2.8 ,180,180,2.8,2.8,22,22,2
Jupiter 6-2 180 mm f/ 2.8 ,180,180,2.8,2.8,22,22,2
Tamron SP AF 17-50 mm f/ 2.8 XR Di II LD Aspherical (IF) ,17, 50,2.8,2.8,32,32,0.27
Canon EF 28 mm f/ 1.8 USM ,28,28,1.8,1.8,22,22,0.25
Canon EF 28 mm f/ 2.8 ,28,28,2.8,2.8,22,22,0.3
Tokina AT-X MACRO 90 mm f/ 2.5 ,90,90,2.5,2.5,32,32,0.39
Canon EF 35 mm f/ 2 ,35,35,2.0,2.0,22,22,0.25
Nikon AF Nikkor 50 mm f/ 1.4 D ,50,50,1.4,1.4,16,16,0.45
Canon EF 85 mm f/ 1.2 L USM ,85,85,1.2,1.2,16,16,0.95
Canon EF 85 mm f/ 1.2 L II USM ,85,85,1.2,1.2,16,16,0.95
Canon EF 100 mm f/ 2 USM ,100,100,2.0,2.0,22,22,0.9
Vivitar Series 1 Macro 90 mm f/ 2.5 (Tokina) ,90,90,2.5,2.5,22,22,0.393
Sony E 18-55 mm f/ 3.5-5.6 OSS ,18, 55,3.5, 5.6,32,32,0.25
Sony E 16 mm f/ 2.8 ,16,16,2.8,2.8,22,22,0.24
Sigma AF 30 mm f/ 1.4 EX DC HSM ,30,30,1.4,1.4,16,16,0.4
Sigma AF 50 mm f/ 1.4 EX DG HSM ,50,50,1.4,1.4,16,16,0.45
Olympus ZUIKO DIGITAL ED 7-14 mm f/ 4 ,7, 14,4.0,4.0,22,22,0.25
Olympus ZUIKO DIGITAL ED 14-35 mm f/ 2 SWD ,14, 35,2.0,2.0,22,22,0.35
Olympus ZUIKO DIGITAL ED 35-100 mm f/ 2 ,35, 100,2.0,2.0,22,22,1.4
Olympus Zuiko Digital ED 90-250 mm f/ 2.8 ,90, 250,2.8,2.8,22,22,2.5
Olympus Zuiko Digital ED 150 mm f/ 2 ,150,150,2.0,2.0,22,22,1.4
Olympus Zuiko Digital ED 300 mm f/ 2.8 ,300,300,2.8,2.8,22,22,2.4
Mir-24 35 mm f/ 2 ,35,35,2.0,2.0,16,16,0.3
Sigma 24-70 mm f/ 2.8 EX DG Macro ,24, 70,2.8,2.8,32,32,0.4
Sigma AF 24-70 mm f/ 2.8 IF EX DG HSM ,24, 70,2.8,2.8,22,22,0.38
Sigma 18-250 mm f/ 3.5-6.3 DC OS HSM ,18, 250,3.5, 6.3,22,22,0.45
Nikon AF-S Nikkor 35 mm f/ 1.8 G DX ,35,35,1.8,1.8,22,22,0.3
Nikon AF Nikkor 35 mm f/ 2 D ,35,35,2.0,2.0,22,22,0.25
Canon EF 135 mm f/ 2 L USM ,135,135,2.0,2.0,32,32,0.9
Canon EF 135 mm f/ 2.8 SoftFocus ,135,135,2.8,2.8,32,32,1.3
Nikon Nikkor 43-86 mm f/ 3.5 ,43, 86,3.5,3.5,22,22,1.2
Helios-44M 58 mm f/ 2 ,58,58,2.0,2.0,16,16,0.5
Canon EF 28-135 mm f/ 3.5-5.6 IS USM ,28, 135,3.5, 5.6,22,22,0.4
