Nikon Nikkor 105 mm f/ 2.5 Ai-S ,Nikon F (DX)
Nikon AF-S Nikkor 17-55 mm f/ 2.8 G IF ED DX ,Nikon F (FX)
Nikon AF-S Nikkor 17-55 mm f/ 2.8 G IF ED DX ,Nikon F (DX)
Nikon AF-S Nikkor 24-70 mm f/ 2.8 G ED ,Nikon F (FX)
Nikon AF-S Nikkor 24-70 mm f/ 2.8 G ED ,Nikon F (DX)
Nikon AF-S Nikkor 28-70 mm f/ 2.8 D ED IF ,Nikon F (FX)
Nikon AF-S Nikkor 28-70 mm f/ 2.8 D ED IF ,Nikon F (DX)
Carl Zeiss Jena Biometar 120 mm f/ 2.8 ,Pentacon Six
3M-5SA 500 mm f/ 8.0 ,M39
3M-5SA 500 mm f/ 8.0 ,M42
3M-5SA 500 mm f/ 8.0 ,Nikon F (FX)
3M-5SA 500 mm f/ 8.0 ,Nikon F (DX)
3M-5SA 500 mm f/ 8.0 ,Pentax K
Nikon AF-S Nikkor 10-24 mm f/ 3.5-4.5 G ED DX ,Nikon F (FX)
Nikon AF-S Nikkor 10-24 mm f/ 3.5-4.5 G ED DX ,Nikon F (DX)
Nikon AF-S Nikkor 16-35 mm f/ 4 G ED VR ,Nikon F (FX)
Nikon AF-S Nikkor 16-35 mm f/ 4 G ED VR ,Nikon F (DX)
Nikon AF-S Nikkor 16-85 mm f/ 3.5-5.6 G ED VR DX ,Nikon F (FX)
Nikon AF-S Nikkor 16-85 mm f/ 3.5-5.6 G ED VR DX ,Nikon F (DX)
Carl Zeiss Jena Flektogon 20 mm f/ 4 ,M42
MTO-11 1000 mm f/ 10 ,M42
Olympus OM-System Zuiko Auto-S 50 mm f/ 1.8 ,Olympus OM
Olympus Om-System Zuiko Auto-T 135 mm f/ 3.5 ,Olympus OM
Tamron SP AF 10-24 mm f/ 3.5-4.5 Di II LD Aspherical (IF) ,Canon EF (FF)
Tamron SP AF 10-24 mm f/ 3.5-4.5 Di II LD Aspherical (IF) ,Canon EF (APS-H)
Tamron SP AF 10-24 mm f/ 3.5-4.5 Di II LD Aspherical (IF) ,Canon EF-S
Tamron SP AF 10-24 mm f/ 3.5-4.5 Di II LD Aspherical (IF) ,Sony A (FF)
Tamron SP AF 10-24 mm f/ 3.5-4.5 Di II LD Aspherical (IF) ,Sony A (APS-C)
Tamron SP AF 10-24 mm f/ 3.5-4.5 Di II LD Aspherical (IF) ,Nikon F (FX)
Tamron SP AF 10-24 mm f/ 3.5-4.5 Di II LD Aspherical (IF) ,Nikon F (DX)
Tamron SP AF 10-24 mm f/ 3.5-4.5 Di II LD Aspherical (IF) ,Pentax K
Tair-11 133 mm f/ 2.8 ,M39
Tair 11-2 135 mm f/ 2.8 ,M42
Tair-11A 135 mm f/ 2.8 ,M39
Tair-11A 135 mm f/ 2.8 ,M42
Nikon AF-S Nikkor 18-55 mm f/ 3.5-5.6 G VR DX ,Nikon F (FX)
Nikon AF-S Nikkor 18-55 mm f/ 3.5-5.6 G VR DX ,Nikon F (DX)
Jupiter-37A 135 mm f/ 3.5 ,M42
Canon EF 16-35 mm f/ 2.8 L USM ,Canon EF (FF)
Canon EF 16-35 mm f/ 2.8 L USM ,Canon EF (APS-H)
Canon EF 16-35 mm f/ 2.8 L USM ,Canon EF-S
Canon EF 16-35 mm f/ 2.8 L II USM ,Canon EF (FF)
Canon EF 16-35 mm f/ 2.8 L II USM ,Canon EF (APS-H)
